カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
page,7487,252,14,DESCRIPTIVE,なし（観察的記述）
card_index,7487,30,222,DESCRIPTIVE,なし（観察的記述）
age_gender,7487,139,1,DESCRIPTIVE,なし（観察的記述）
location,7487,307,1,DESCRIPTIVE,なし（観察的記述）
member_id,7487,7484,1,DESCRIPTIVE,なし（観察的記述）
status,312,2,2,DESCRIPTIVE,なし（観察的記述）
desired_area,7487,2682,1,DESCRIPTIVE,なし（観察的記述）
desired_workstyle,7413,50,1,DESCRIPTIVE,なし（観察的記述）
desired_start,2743,1934,1,DESCRIPTIVE,なし（観察的記述）
career,2263,1627,1,DESCRIPTIVE,なし（観察的記述）
employment_status,7486,3,449,DESCRIPTIVE,なし（観察的記述）
desired_job,7487,2371,1,DESCRIPTIVE,なし（観察的記述）
qualifications,5212,724,1,DESCRIPTIVE,なし（観察的記述）
age,7487,72,1,DESCRIPTIVE,なし（観察的記述）
gender,7487,2,2455,DESCRIPTIVE,なし（観察的記述）
residence_pref,7487,45,1,DESCRIPTIVE,なし（観察的記述）
residence_muni,7470,306,1,DESCRIPTIVE,なし（観察的記述）
urgency_score,7487,6,244,DESCRIPTIVE,なし（観察的記述）
urgency_score_dynamic,7487,166,1,DESCRIPTIVE,なし（観察的記述）
desired_start_text,2743,5,244,DESCRIPTIVE,なし（観察的記述）
desired_start_date,2743,1010,1,DESCRIPTIVE,なし（観察的記述）
days_elapsed,2743,1010,1,DESCRIPTIVE,なし（観察的記述）
education_level,7487,7,23,DESCRIPTIVE,なし（観察的記述）
education_field,1631,938,1,DESCRIPTIVE,なし（観察的記述）
graduation_year,1622,68,1,DESCRIPTIVE,なし（観察的記述）
is_currently_enrolled,7487,2,68,DESCRIPTIVE,なし（観察的記述）
all_education_levels,2263,10,1,DESCRIPTIVE,なし（観察的記述）
希望勤務地数_raw,7487,68,1,DESCRIPTIVE,なし（観察的記述）
希望勤務地数,7487,47,1,DESCRIPTIVE,なし（観察的記述）
