ペルソナ名,低移動性,中移動性,高移動性,低移動性比率,中移動性比率,高移動性比率
20代層,960,135,129,78.43137254901961,11.029411764705882,10.53921568627451
30代層,851,175,108,75.04409171075838,15.432098765432098,9.523809523809524
40代層,1174,207,102,79.16385704652731,13.958192852326365,6.877950101146325
50代層,1496,251,115,80.343716433942,13.48012889366273,6.176154672395274
60代層,1066,163,75,81.74846625766872,12.5,5.751533742331288
70歳以上層,343,46,21,83.65853658536585,11.219512195121952,5.121951219512195
