ペルソナ名,都道府県,市区町村,キー,人数,緯度,経度
20代層,群馬県,藤岡市,群馬県藤岡市,1,36.3907,139.0604
20代層,兵庫県,神戸市須磨区,兵庫県神戸市須磨区,2,34.6913,135.183
20代層,静岡県,藤枝市,静岡県藤枝市,1,35.0,135.0
20代層,愛知県,春日井市,愛知県春日井市,2,35.0,135.0
20代層,静岡県,賀茂郡南伊豆町,静岡県賀茂郡南伊豆町,1,35.0,135.0
20代層,埼玉県,さいたま市岩槻区,埼玉県さいたま市岩槻区,1,35.8617,139.6455
20代層,埼玉県,上尾市,埼玉県上尾市,1,35.8617,139.6455
20代層,埼玉県,比企郡川島町,埼玉県比企郡川島町,1,35.8617,139.6455
20代層,神奈川県,足柄上郡開成町,神奈川県足柄上郡開成町,1,35.4478,139.6425
20代層,愛知県,尾張旭市,愛知県尾張旭市,2,35.0,135.0
20代層,東京都,武蔵野市,東京都武蔵野市,2,35.6895,139.6917
20代層,愛知県,西尾市,愛知県西尾市,1,35.0,135.0
20代層,山口県,防府市,山口県防府市,1,35.0,135.0
20代層,静岡県,浜松市東区,静岡県浜松市東区,1,35.0,135.0
20代層,大阪府,貝塚市,大阪府貝塚市,1,34.6937,135.5023
20代層,東京都,多摩市,東京都多摩市,2,35.6895,139.6917
20代層,福岡県,遠賀郡遠賀町,福岡県遠賀郡遠賀町,1,35.0,135.0
20代層,福岡県,福岡市城南区,福岡県福岡市城南区,2,35.0,135.0
20代層,山口県,大島郡周防大島町,山口県大島郡周防大島町,1,35.0,135.0
20代層,静岡県,沼津市,静岡県沼津市,1,35.0,135.0
20代層,千葉県,白井市,千葉県白井市,1,35.6074,140.1233
20代層,静岡県,磐田市,静岡県磐田市,1,35.0,135.0
20代層,埼玉県,久喜市,埼玉県久喜市,2,35.8617,139.6455
20代層,愛知県,清須市,愛知県清須市,1,35.0,135.0
20代層,愛知県,稲沢市,愛知県稲沢市,1,35.0,135.0
20代層,兵庫県,神戸市垂水区,兵庫県神戸市垂水区,2,34.6913,135.183
20代層,山口県,下関市,山口県下関市,2,35.0,135.0
20代層,広島県,広島市佐伯区,広島県広島市佐伯区,3,35.0,135.0
20代層,愛媛県,新居浜市,愛媛県新居浜市,1,35.0,135.0
20代層,愛知県,犬山市,愛知県犬山市,2,35.0,135.0
20代層,群馬県,伊勢崎市,群馬県伊勢崎市,2,36.3907,139.0604
20代層,富山県,高岡市,富山県高岡市,1,35.0,135.0
20代層,沖縄県,宜野湾市,沖縄県宜野湾市,1,35.0,135.0
20代層,神奈川県,平塚市,神奈川県平塚市,3,35.4478,139.6425
20代層,静岡県,賀茂郡西伊豆町,静岡県賀茂郡西伊豆町,1,35.0,135.0
20代層,岐阜県,多治見市,岐阜県多治見市,1,35.0,135.0
20代層,愛媛県,松山市,愛媛県松山市,2,35.0,135.0
20代層,福岡県,北九州市小倉南区,福岡県北九州市小倉南区,1,35.0,135.0
20代層,三重県,桑名市,三重県桑名市,1,35.0,135.0
20代層,沖縄県,うるま市,沖縄県うるま市,1,35.0,135.0
20代層,熊本県,水俣市,熊本県水俣市,1,35.0,135.0
20代層,千葉県,佐倉市,千葉県佐倉市,1,35.6074,140.1233
20代層,千葉県,四街道市,千葉県四街道市,2,35.6074,140.1233
20代層,熊本県,菊池郡菊陽町,熊本県菊池郡菊陽町,1,35.0,135.0
20代層,愛知県,知多郡武豊町,愛知県知多郡武豊町,1,35.0,135.0
20代層,福岡県,福津市,福岡県福津市,1,35.0,135.0
20代層,愛知県,津島市,愛知県津島市,1,35.0,135.0
20代層,神奈川県,川崎市高津区,神奈川県川崎市高津区,1,35.4478,139.6425
20代層,神奈川県,伊勢原市,神奈川県伊勢原市,1,35.4478,139.6425
20代層,愛知県,半田市,愛知県半田市,1,35.0,135.0
20代層,宮崎県,延岡市,宮崎県延岡市,1,35.0,135.0
20代層,長野県,飯田市,長野県飯田市,1,35.0,135.0
20代層,沖縄県,名護市,沖縄県名護市,1,35.0,135.0
20代層,岐阜県,可児市,岐阜県可児市,1,35.0,135.0
20代層,長野県,長野市,長野県長野市,1,35.0,135.0
20代層,東京都,狛江市,東京都狛江市,1,35.6895,139.6917
20代層,福岡県,太宰府市,福岡県太宰府市,1,35.0,135.0
20代層,茨城県,那珂市,茨城県那珂市,1,36.3418,140.4467
20代層,佐賀県,武雄市,佐賀県武雄市,1,35.0,135.0
20代層,東京都,東久留米市,東京都東久留米市,2,35.6895,139.6917
20代層,福岡県,春日市,福岡県春日市,2,35.0,135.0
20代層,沖縄県,国頭郡本部町,沖縄県国頭郡本部町,1,35.0,135.0
20代層,東京都,小平市,東京都小平市,1,35.6895,139.6917
20代層,埼玉県,熊谷市,埼玉県熊谷市,1,35.8617,139.6455
20代層,福岡県,糟屋郡粕屋町,福岡県糟屋郡粕屋町,1,35.0,135.0
20代層,愛知県,東海市,愛知県東海市,1,35.0,135.0
20代層,北海道,千歳市,北海道千歳市,1,35.0,135.0
20代層,新潟県,新潟市秋葉区,新潟県新潟市秋葉区,1,35.0,135.0
20代層,新潟県,五泉市,新潟県五泉市,1,35.0,135.0
20代層,岡山県,総社市,岡山県総社市,2,35.0,135.0
