カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
persona_name,36,36,1,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（1件 < 30件）
age_group,36,6,6,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（6件 < 30件）
gender,36,2,18,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（18件 < 30件）
has_national_license,24,2,12,CRITICAL,推論用サンプル数不足（24件 < 100件） / 推論用最小グループ不足（12件 < 30件）
count,36,33,1,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（1件 < 30件）
avg_desired_areas,36,35,1,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（1件 < 30件）
avg_qualifications,36,35,1,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（1件 < 30件）
employment_rate,36,33,1,CRITICAL,推論用サンプル数不足（36件 < 100件） / 推論用最小グループ不足（1件 < 30件）
avg_age,12,12,1,CRITICAL,推論用サンプル数不足（12件 < 100件） / 推論用最小グループ不足（1件 < 30件）
national_license_rate,12,12,1,CRITICAL,推論用サンプル数不足（12件 < 100件） / 推論用最小グループ不足（1件 < 30件）
top_residence_pref,12,1,12,CRITICAL,推論用サンプル数不足（12件 < 100件） / 推論用最小グループ不足（12件 < 30件）
