age_group,gender,count,avg_desired_areas,avg_qualifications,national_license_rate
20代,女性,789,2.9784537389100127,0.826362484157161,0.021546261089987327
20代,男性,441,2.909297052154195,0.8775510204081632,0.011337868480725623
30代,女性,702,3.141025641025641,1.4558404558404558,0.022792022792022793
30代,男性,443,4.553047404063205,1.652370203160271,0.011286681715575621
40代,女性,997,2.752256770310933,1.5586760280842527,0.025075225677031094
40代,男性,503,4.564612326043737,1.856858846918489,0.02385685884691849
50代,女性,1398,2.6773962804005724,1.511444921316166,0.0178826895565093
50代,男性,485,4.4288659793814436,1.8288659793814432,0.016494845360824743
60代,女性,931,2.7035445757250267,1.4092373791621913,0.034371643394199784
60代,男性,386,4.595854922279793,1.3601036269430051,0.015544041450777202
70歳以上,女性,215,2.9767441860465116,1.213953488372093,0.08372093023255814
70歳以上,男性,197,3.517766497461929,0.9949238578680203,0.005076142131979695
