カラム名,有効データ数,ユニーク値数,最小グループサイズ,信頼性レベル,警告
career,3323,1627,2,CRITICAL,推論用最小グループ不足（2件 < 30件）
count,3323,26,1,CRITICAL,推論用最小グループ不足（1件 < 30件）
avg_age,3323,159,1,CRITICAL,推論用最小グループ不足（1件 < 30件）
avg_qualifications,3323,62,1,CRITICAL,推論用最小グループ不足（1件 < 30件）
age_group,1696,6,88,HIGH,なし
