node_id,prefecture,municipality,inflow,outflow,net_flow,latitude,longitude
埼玉県本庄市,埼玉県,本庄市,4,0,4,35.8617,139.6455
埼玉県入間郡三芳町,埼玉県,入間郡三芳町,4,0,4,35.8617,139.6455
静岡県浜松市中区,静岡県,浜松市中区,4,0,4,35.0,135.0
東京都狛江市,東京都,狛江市,4,0,4,35.6895,139.6917
福井県,福井県,,4,0,4,35.0,135.0
石川県,石川県,,4,0,4,35.0,135.0
和歌山県岩出市,和歌山県,岩出市,4,0,4,35.0,135.0
愛媛県,愛媛県,,4,0,4,35.0,135.0
三重県,三重県,,4,0,4,35.0,135.0
茨城県牛久市,茨城県,牛久市,4,0,4,36.3418,140.4467
