prefecture,municipality,location,demand_count,supply_count,demand_supply_ratio,gap,latitude,longitude
山口県,光市,山口県光市,1.0,0.0,1.0,1.0,34.19,131.47
山口県,周南市,山口県周南市,1.0,0.0,1.0,1.0,34.19,131.47
山口県,大島郡周防大島町,山口県大島郡周防大島町,1.0,0.0,1.0,1.0,34.19,131.47
山口県,岩国市,山口県岩国市,2.0,1.0,1.0,1.0,34.19,131.47
山口県,熊毛郡平生町,山口県熊毛郡平生町,1.0,0.0,1.0,1.0,34.19,131.47
三重県,北牟婁郡紀北町,三重県北牟婁郡紀北町,1.0,0.0,1.0,1.0,34.73,136.51
静岡県,湖西市,静岡県湖西市,1.0,0.0,1.0,1.0,34.98,138.38
鹿児島県,指宿市,鹿児島県指宿市,1.0,0.0,1.0,1.0,31.56,130.56
鹿児島県,肝属郡錦江町,鹿児島県肝属郡錦江町,1.0,0.0,1.0,1.0,31.56,130.56
三重県,伊勢市,三重県伊勢市,1.0,0.0,1.0,1.0,34.73,136.51
三重県,度会郡度会町,三重県度会郡度会町,1.0,0.0,1.0,1.0,34.73,136.51
三重県,度会郡大紀町,三重県度会郡大紀町,1.0,0.0,1.0,1.0,34.73,136.51
三重県,多気郡明和町,三重県多気郡明和町,1.0,0.0,1.0,1.0,34.73,136.51
静岡県,浜松市北区,静岡県浜松市北区,1.0,0.0,1.0,1.0,34.98,138.38
三重県,員弁郡東員町,三重県員弁郡東員町,1.0,0.0,1.0,1.0,34.73,136.51
佐賀県,多久市,佐賀県多久市,1.0,0.0,1.0,1.0,33.25,130.3
長野県,大町市,長野県大町市,1.0,0.0,1.0,1.0,36.65,138.18
千葉県,印旛郡酒々井町,千葉県印旛郡酒々井町,1.0,0.0,1.0,1.0,35.61,140.11
千葉県,富津市,千葉県富津市,1.0,0.0,1.0,1.0,35.61,140.11
千葉県,山武郡九十九里町,千葉県山武郡九十九里町,1.0,0.0,1.0,1.0,35.61,140.11
静岡県,伊豆の国市,静岡県伊豆の国市,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,島田市,静岡県島田市,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,御前崎市,静岡県御前崎市,1.0,0.0,1.0,1.0,34.98,138.38
静岡県,御殿場市,静岡県御殿場市,1.0,0.0,1.0,1.0,34.98,138.38
