location,supply_count,avg_age,national_license_count,avg_qualifications
京都府京都市伏見区,1748,48.7408466819222,47,1.715675057208238
京都府京都市右京区,1118,48.772808586762075,34,1.661896243291592
京都府京都市山科区,1033,48.156824782187805,45,1.702807357212004
京都府京都市西京区,922,47.915401301518436,37,1.7288503253796095
京都府京都市南区,885,46.88587570621469,29,1.8124293785310734
京都府宇治市,873,48.11683848797251,25,1.722794959908362
京都府京都市中京区,818,46.9119804400978,30,1.8508557457212713
京都府京都市下京区,804,46.56218905472637,30,1.9191542288557213
京都府京都市上京区,612,49.388888888888886,26,1.8545751633986929
京都府京都市左京区,610,48.15245901639344,29,1.7426229508196722
京都府京都市北区,595,47.08739495798319,14,1.642016806722689
京都府,500,46.102,22,2.182
京都府長岡京市,481,49.36174636174636,21,1.9563409563409564
大阪府枚方市,432,48.719907407407405,32,2.3912037037037037
京都府木津川市,418,49.85167464114833,18,1.9808612440191387
京都府八幡市,389,49.35218508997429,19,1.93573264781491
京都府城陽市,379,49.02374670184697,13,1.8997361477572559
京都府京都市東山区,358,48.67877094972067,27,1.958100558659218
滋賀県大津市,343,47.02332361516035,21,2.2565597667638486
京都府向日市,327,49.018348623853214,12,2.015290519877676
奈良県奈良市,327,50.782874617737,16,2.3486238532110093
京都府亀岡市,308,47.02597402597402,10,1.4123376623376624
京都府京田辺市,302,48.71854304635762,17,1.966887417218543
大阪府高槻市,237,47.41772151898734,15,2.388185654008439
京都府相楽郡精華町,184,48.619565217391305,6,2.108695652173913
滋賀県草津市,161,46.98757763975155,11,2.372670807453416
大阪府,160,42.59375,7,2.6125
大阪府大阪市北区,159,44.704402515723274,16,2.7358490566037736
京都府福知山市,153,43.81699346405229,4,1.3594771241830066
京都府舞鶴市,141,42.234042553191486,4,1.2836879432624113
大阪府茨木市,140,48.90714285714286,19,2.55
京都府南丹市,135,46.614814814814814,2,1.5333333333333334
大阪府東大阪市,130,50.5,11,2.8
大阪府寝屋川市,129,47.41860465116279,14,2.550387596899225
大阪府吹田市,115,45.38260869565217,10,2.7217391304347824
大阪府大阪市中央区,111,43.18018018018018,10,2.72972972972973
大阪府交野市,108,49.574074074074076,8,2.6574074074074074
大阪府豊中市,105,44.98095238095238,11,2.6
大阪府大阪市東淀川区,101,48.227722772277225,14,2.9405940594059405
京都府久世郡久御山町,101,48.148514851485146,2,2.0396039603960396
大阪府大阪市淀川区,96,46.552083333333336,11,3.0833333333333335
奈良県生駒市,93,51.03225806451613,5,2.4946236559139785
大阪府守口市,90,49.44444444444444,7,2.588888888888889
京都府乙訓郡大山崎町,85,49.6,2,1.8705882352941177
大阪府大阪市生野区,80,47.45,10,2.85
大阪府大阪市平野区,79,47.53164556962025,14,2.607594936708861
大阪府大阪市都島区,78,44.64102564102564,8,2.8076923076923075
大阪府大阪市城東区,77,45.63636363636363,5,2.6493506493506493
滋賀県守山市,77,46.701298701298704,9,2.6493506493506493
大阪府大阪市浪速区,75,48.0,9,2.9066666666666667
奈良県大和郡山市,75,52.88,5,2.5866666666666664
大阪府大阪市西成区,75,47.29333333333334,9,2.9066666666666667
滋賀県栗東市,75,46.54666666666667,9,2.533333333333333
大阪府門真市,66,49.31818181818182,5,2.5757575757575757
兵庫県尼崎市,66,46.09090909090909,7,2.4696969696969697
大阪府大阪市西区,62,44.46774193548387,7,2.806451612903226
大阪府八尾市,59,47.101694915254235,10,2.593220338983051
大阪府大阪市住吉区,59,47.101694915254235,7,2.9322033898305087
京都府京丹後市,58,47.3448275862069,1,0.896551724137931
大阪府大阪市天王寺区,58,46.827586206896555,6,2.8620689655172415
大阪府大東市,57,50.228070175438596,7,2.982456140350877
大阪府大阪市西淀川区,57,43.80701754385965,7,2.7017543859649122
大阪府大阪市旭区,56,45.892857142857146,4,2.892857142857143
兵庫県西宮市,56,44.875,7,2.982142857142857
滋賀県,56,44.42857142857143,3,2.75
大阪府大阪市東成区,55,47.472727272727276,5,2.6545454545454548
大阪府大阪市鶴見区,54,48.22222222222222,9,2.759259259259259
大阪府大阪市東住吉区,53,46.79245283018868,12,2.4716981132075473
大阪府箕面市,53,47.924528301886795,5,2.7169811320754715
大阪府大阪市阿倍野区,53,47.113207547169814,5,2.830188679245283
大阪府摂津市,52,44.75,1,2.6923076923076925
兵庫県,52,43.28846153846154,2,2.9038461538461537
大阪府三島郡島本町,51,51.11764705882353,3,2.4705882352941178
大阪府大阪市福島区,49,46.0,6,2.7346938775510203
奈良県,46,47.21739130434783,2,2.3043478260869565
京都府綾部市,44,44.43181818181818,2,1.75
大阪府大阪市住之江区,42,46.095238095238095,7,2.5952380952380953
滋賀県野洲市,41,44.41463414634146,6,2.6097560975609757
奈良県橿原市,38,49.63157894736842,2,2.763157894736842
奈良県天理市,38,51.86842105263158,2,2.6578947368421053
京都府与謝郡与謝野町,38,46.73684210526316,0,1.263157894736842
大阪府堺市北区,37,47.45945945945946,7,2.5405405405405403
京都府綴喜郡宇治田原町,35,43.97142857142857,3,1.8285714285714285
兵庫県宝塚市,35,45.542857142857144,3,2.2285714285714286
京都府綴喜郡井手町,34,52.26470588235294,1,2.0294117647058822
大阪府池田市,33,49.90909090909091,4,3.1515151515151514
滋賀県彦根市,33,44.36363636363637,3,1.9393939393939394
京都府宮津市,33,49.09090909090909,0,1.5757575757575757
大阪府大阪市港区,32,50.5625,5,3.03125
大阪府大阪市此花区,32,48.625,5,3.0
大阪府堺市堺区,31,51.38709677419355,5,3.0
東京都渋谷区,30,45.96666666666667,5,2.966666666666667
兵庫県神戸市灘区,30,46.666666666666664,5,2.3333333333333335
兵庫県伊丹市,30,48.0,4,2.966666666666667
兵庫県神戸市中央区,30,43.5,2,2.5
大阪府堺市中区,29,45.44827586206897,2,2.5172413793103448
大阪府四條畷市,29,53.58620689655172,1,2.896551724137931
大阪府大阪市大正区,28,48.92857142857143,2,2.357142857142857
京都府船井郡京丹波町,26,47.53846153846154,0,1.1923076923076923
東京都大田区,26,49.0,4,2.6923076923076925
東京都,26,41.15384615384615,1,2.3846153846153846
東京都世田谷区,26,44.88461538461539,4,3.1538461538461537
兵庫県芦屋市,25,44.92,0,2.68
兵庫県神戸市東灘区,25,44.64,2,3.12
兵庫県神戸市北区,25,44.92,2,2.6
兵庫県川西市,25,50.68,2,2.6
大阪府堺市南区,24,44.0,2,2.3333333333333335
大阪府羽曳野市,24,46.375,2,2.9166666666666665
東京都練馬区,24,46.375,2,2.5833333333333335
東京都港区,24,44.041666666666664,6,3.0833333333333335
東京都杉並区,24,43.416666666666664,3,3.1666666666666665
大阪府堺市西区,23,44.73913043478261,3,2.217391304347826
東京都文京区,23,49.130434782608695,1,2.782608695652174
滋賀県湖南市,22,48.59090909090909,2,2.409090909090909
東京都新宿区,22,47.18181818181818,2,2.9545454545454546
東京都板橋区,22,45.81818181818182,1,3.1818181818181817
神奈川県横浜市青葉区,22,43.90909090909091,2,2.4545454545454546
大阪府和泉市,22,45.5,1,2.8181818181818183
神奈川県横浜市港北区,22,44.45454545454545,3,3.0454545454545454
大阪府藤井寺市,22,50.04545454545455,4,2.8636363636363638
福井県大飯郡高浜町,22,40.36363636363637,0,2.409090909090909
奈良県磯城郡田原本町,21,48.714285714285715,1,3.0
大阪府松原市,21,50.0,4,3.238095238095238
大阪府岸和田市,21,49.285714285714285,4,3.0476190476190474
東京都品川区,21,42.80952380952381,3,2.7142857142857144
奈良県生駒郡三郷町,20,54.95,2,2.85
神奈川県,20,41.5,0,2.6
滋賀県甲賀市,20,49.0,3,1.8
神奈川県横浜市南区,20,45.7,2,3.3
千葉県船橋市,20,47.8,1,3.9
神奈川県横浜市緑区,19,42.473684210526315,1,2.9473684210526314
滋賀県近江八幡市,19,46.78947368421053,2,2.736842105263158
兵庫県丹波市,19,41.10526315789474,0,2.4210526315789473
奈良県北葛城郡王寺町,19,49.21052631578947,3,2.789473684210526
愛知県,19,38.26315789473684,0,3.0526315789473686
埼玉県川口市,19,38.8421052631579,2,3.1052631578947367
東京都町田市,18,45.72222222222222,3,2.388888888888889
千葉県柏市,18,49.22222222222222,2,2.7777777777777777
奈良県香芝市,18,47.611111111111114,2,3.1666666666666665
神奈川県川崎市川崎区,18,46.05555555555556,2,3.2222222222222223
神奈川県藤沢市,18,43.111111111111114,2,3.0555555555555554
東京都目黒区,18,41.22222222222222,2,2.6666666666666665
東京都足立区,18,48.888888888888886,4,2.9444444444444446
東京都千代田区,17,41.11764705882353,1,3.176470588235294
兵庫県姫路市,17,42.94117647058823,4,3.0588235294117645
兵庫県明石市,17,50.05882352941177,4,2.4705882352941178
東京都江東区,17,44.94117647058823,3,2.764705882352941
東京都江戸川区,17,44.76470588235294,1,3.411764705882353
滋賀県長浜市,17,44.0,2,1.5294117647058822
奈良県生駒郡斑鳩町,17,56.411764705882355,3,2.8823529411764706
神奈川県横浜市中区,17,42.8235294117647,1,3.1176470588235294
大阪府富田林市,17,47.88235294117647,3,3.1176470588235294
神奈川県鎌倉市,17,43.05882352941177,3,2.8823529411764706
奈良県生駒郡平群町,17,54.11764705882353,1,2.9411764705882355
兵庫県神戸市西区,17,48.88235294117647,3,3.176470588235294
神奈川県川崎市宮前区,16,48.0,2,2.875
愛知県名古屋市中村区,16,43.625,2,2.8125
兵庫県神戸市垂水区,16,46.1875,2,2.5
兵庫県丹波篠山市,16,43.625,0,2.25
大阪府堺市東区,16,43.1875,1,2.5625
滋賀県東近江市,16,40.25,3,1.4375
千葉県市川市,16,48.5625,1,3.375
兵庫県三田市,15,45.266666666666666,1,2.6
東京都北区,15,45.86666666666667,0,3.1333333333333333
愛知県名古屋市千種区,15,43.266666666666666,2,4.0
愛知県名古屋市緑区,15,43.266666666666666,3,2.933333333333333
岐阜県岐阜市,15,50.333333333333336,3,3.0
千葉県松戸市,15,46.4,0,3.466666666666667
神奈川県横浜市都筑区,15,46.266666666666666,1,3.6
千葉県千葉市中央区,15,45.6,1,2.8666666666666667
奈良県大和高田市,15,47.4,1,3.2
兵庫県神戸市兵庫区,15,43.53333333333333,1,2.7333333333333334
神奈川県横浜市戸塚区,15,50.53333333333333,1,3.066666666666667
東京都中央区,14,45.142857142857146,0,3.357142857142857
東京都八王子市,14,43.214285714285715,1,2.2857142857142856
東京都台東区,14,48.357142857142854,2,3.0
和歌山県和歌山市,14,41.357142857142854,2,3.5714285714285716
神奈川県茅ヶ崎市,14,46.142857142857146,1,4.071428571428571
埼玉県越谷市,14,42.0,1,3.142857142857143
神奈川県横浜市鶴見区,14,46.285714285714285,2,2.857142857142857
東京都葛飾区,14,46.5,1,3.0
神奈川県大和市,14,45.57142857142857,2,2.9285714285714284
愛知県名古屋市天白区,14,45.07142857142857,2,3.0
千葉県流山市,14,47.07142857142857,1,4.285714285714286
兵庫県神戸市長田区,14,42.785714285714285,2,2.7142857142857144
東京都豊島区,14,44.57142857142857,3,2.642857142857143
兵庫県加古川市,14,46.714285714285715,1,2.4285714285714284
東京都中野区,13,44.53846153846154,1,2.5384615384615383
神奈川県横須賀市,13,48.15384615384615,2,3.1538461538461537
神奈川県相模原市南区,13,40.92307692307692,1,2.8461538461538463
千葉県習志野市,13,44.69230769230769,3,2.923076923076923
愛知県名古屋市中区,13,39.69230769230769,3,3.3076923076923075
大阪府泉佐野市,13,46.92307692307692,2,3.3846153846153846
神奈川県川崎市中原区,12,47.916666666666664,3,3.1666666666666665
千葉県市原市,12,50.083333333333336,2,3.0
福岡県福岡市早良区,12,44.416666666666664,2,1.6666666666666667
愛知県名古屋市守山区,12,42.583333333333336,3,3.25
兵庫県神戸市須磨区,12,47.333333333333336,0,2.25
東京都三鷹市,12,41.5,2,2.6666666666666665
東京都荒川区,12,40.75,1,2.9166666666666665
埼玉県春日部市,12,48.5,1,5.25
大阪府高石市,12,54.416666666666664,1,3.0833333333333335
大阪府柏原市,12,47.416666666666664,3,2.9166666666666665
埼玉県,12,47.666666666666664,0,3.5
大阪府河内長野市,12,46.0,0,2.75
神奈川県川崎市多摩区,12,48.916666666666664,2,3.4166666666666665
神奈川県横浜市神奈川区,12,46.083333333333336,3,3.5833333333333335
神奈川県横浜市西区,12,40.916666666666664,1,3.25
東京都墨田区,11,41.27272727272727,2,3.1818181818181817
大阪府大阪狭山市,11,42.54545454545455,1,2.5454545454545454
東京都多摩市,11,48.18181818181818,1,2.909090909090909
福岡県福岡市南区,11,51.54545454545455,2,2.5454545454545454
千葉県,11,46.90909090909091,0,2.8181818181818183
神奈川県川崎市幸区,11,46.81818181818182,1,3.1818181818181817
福岡県福岡市東区,11,45.09090909090909,2,2.4545454545454546
埼玉県さいたま市北区,11,48.0,0,4.181818181818182
大阪府泉大津市,11,53.36363636363637,2,3.4545454545454546
奈良県桜井市,11,53.09090909090909,2,2.272727272727273
奈良県御所市,11,44.27272727272727,1,3.090909090909091
埼玉県さいたま市大宮区,11,51.0,0,3.4545454545454546
埼玉県さいたま市西区,11,43.27272727272727,0,3.0
埼玉県新座市,11,48.90909090909091,0,3.1818181818181817
埼玉県所沢市,11,43.63636363636363,0,3.3636363636363638
東京都調布市,11,44.36363636363637,2,2.909090909090909
埼玉県川越市,11,49.45454545454545,0,3.8181818181818183
神奈川県相模原市中央区,11,46.81818181818182,1,3.727272727272727
神奈川県横浜市保土ケ谷区,11,41.54545454545455,2,3.272727272727273
埼玉県さいたま市緑区,11,47.0,0,3.6363636363636362
神奈川県平塚市,10,41.5,2,3.6
福岡県福岡市博多区,10,43.0,2,2.5
奈良県葛城市,10,45.3,1,3.4
大阪府貝塚市,10,45.1,2,3.5
福岡県福岡市中央区,10,45.4,2,2.2
神奈川県横浜市旭区,10,46.1,1,2.1
埼玉県狭山市,10,50.4,1,4.1
兵庫県豊岡市,10,36.1,0,1.7
東京都西東京市,10,46.2,1,4.0
千葉県千葉市稲毛区,10,47.3,1,3.2
福岡県,10,41.2,0,2.7
愛知県名古屋市名東区,10,45.4,2,5.1
東京都府中市,10,45.2,0,2.0
愛知県名古屋市港区,10,41.3,1,2.6
愛知県名古屋市瑞穂区,10,47.9,1,2.8
埼玉県さいたま市南区,10,50.4,1,4.2
埼玉県草加市,9,43.77777777777778,0,4.0
埼玉県三郷市,9,43.0,1,3.0
埼玉県さいたま市見沼区,9,49.44444444444444,1,4.555555555555555
愛知県名古屋市南区,9,45.44444444444444,2,2.7777777777777777
愛知県一宮市,9,45.55555555555556,2,3.4444444444444446
広島県広島市中区,9,35.888888888888886,0,2.0
愛知県名古屋市中川区,9,43.888888888888886,1,2.6666666666666665
三重県松阪市,9,47.0,1,2.0
三重県津市,9,44.22222222222222,1,2.5555555555555554
愛知県名古屋市西区,9,46.0,1,3.0
兵庫県川辺郡猪名川町,9,42.888888888888886,2,1.7777777777777777
東京都立川市,9,36.55555555555556,0,2.7777777777777777
岐阜県各務原市,9,50.22222222222222,2,3.2222222222222223
神奈川県横浜市栄区,9,42.666666666666664,2,3.0
埼玉県さいたま市岩槻区,9,50.44444444444444,0,3.888888888888889
千葉県千葉市緑区,9,41.333333333333336,0,2.4444444444444446
埼玉県和光市,9,37.111111111111114,0,2.2222222222222223
埼玉県朝霞市,9,44.77777777777778,0,3.0
滋賀県高島市,9,56.333333333333336,3,3.3333333333333335
京都府相楽郡南山城村,9,51.0,1,0.8888888888888888
千葉県佐倉市,9,51.666666666666664,0,2.888888888888889
神奈川県厚木市,9,43.22222222222222,1,3.4444444444444446
三重県四日市市,8,42.0,1,2.375
広島県福山市,8,46.25,1,5.5
東京都小平市,8,53.875,0,2.25
愛知県名古屋市東区,8,41.25,2,2.5
神奈川県横浜市泉区,8,53.5,1,2.75
神奈川県横浜市港南区,8,41.5,1,2.75
神奈川県横浜市金沢区,8,40.625,1,3.0
埼玉県蕨市,8,37.75,2,3.25
茨城県つくば市,8,55.0,0,4.25
滋賀県蒲生郡日野町,8,47.625,0,2.75
奈良県北葛城郡上牧町,8,51.125,4,3.0
埼玉県久喜市,8,45.375,0,3.75
大阪府堺市美原区,8,47.375,0,2.875
奈良県北葛城郡河合町,8,53.25,1,4.25
神奈川県相模原市緑区,8,41.625,1,3.375
神奈川県海老名市,8,48.625,2,2.875
千葉県千葉市花見川区,8,47.125,0,1.75
神奈川県川崎市高津区,8,55.375,1,3.375
神奈川県川崎市麻生区,8,39.875,2,2.75
千葉県浦安市,8,46.25,2,3.0
千葉県四街道市,8,57.875,1,4.0
千葉県千葉市若葉区,8,52.5,0,4.125
茨城県土浦市,8,47.375,0,3.375
愛媛県松山市,8,42.125,1,2.375
神奈川県秦野市,8,44.75,0,3.75
鹿児島県鹿児島市,7,46.142857142857146,1,3.4285714285714284
福井県小浜市,7,54.42857142857143,0,1.7142857142857142
埼玉県鴻巣市,7,41.0,0,3.7142857142857144
東京都東久留米市,7,40.142857142857146,1,2.2857142857142856
埼玉県さいたま市桜区,7,49.142857142857146,0,5.142857142857143
東京都日野市,7,33.142857142857146,1,3.142857142857143
東京都武蔵野市,7,42.285714285714285,1,4.285714285714286
神奈川県横浜市磯子区,7,47.285714285714285,1,3.0
神奈川県横浜市瀬谷区,7,45.857142857142854,1,2.7142857142857144
愛知県瀬戸市,7,42.57142857142857,2,3.2857142857142856
広島県,7,43.0,1,5.142857142857143
愛知県名古屋市昭和区,7,48.0,2,2.7142857142857144
愛知県名古屋市熱田区,7,50.57142857142857,2,3.2857142857142856
