segment_id,segment_name,count,percentage,avg_age,female_ratio,avg_qualifications,avg_desired_locations
0,20代層,1230,16.428476025110193,24.522764227642277,0.6414634146341464,0.8447154471544716,2.953658536585366
1,30代層,1145,15.293174836383065,34.51266375545852,0.6131004366812227,1.531877729257642,3.6873362445414846
2,40代層,1500,20.03472685989048,44.786,0.6646666666666666,1.6586666666666667,3.36
3,50代層,1883,25.15026045144918,54.46521508231545,0.7424322889006904,1.5932023366967605,3.128518321826872
4,60代層,1317,17.59049018298384,63.88458618071375,0.7069096431283219,1.3948367501898253,3.258162490508732
5,70歳以上層,412,5.502871644183251,73.9635922330097,0.5218446601941747,1.1092233009708738,3.2354368932038833
